Participant	Trial	Condition	Frame_ID	Word_pred	FFD_ms	GD_ms	TRT_ms
1	4	4	1	0	1266.2	1266.2	1582.7
1	26	1	2	0.2	249.9	249.9	249.9
1	21	2	3	0.2	1582.8	1582.8	1582.8
1	13	3	4	0	348.6	348.6	1947.7
1	39	4	5	0.4	883	1649.9	2699.7
1	44	1	6	0.95	150	150	150
1	38	2	7	0	649.9	649.9	649.9
1	37	3	8	0.5	449.8	449.8	549.3
1	52	4	9	0	266.5	266.5	266.5
1	30	1	10	0.7	0	0	0
1	62	2	11	0.6	0	0	0
1	77	3	12	0.3	466.5	466.5	466.5
1	29	4	13	0.15	1449.3	1449.3	2298.8
1	56	1	14	0.4	0	0	0
1	76	2	15	0	416.1	599.5	599.5
1	16	3	16	0	499.9	933.1	933.1
1	8	4	17	0	699.8	949.6	2699
1	10	1	18	0.3	116.6	433.2	433.2
1	69	2	19	0.8	199.8	199.8	850.1
1	32	3	20	0.05	916.3	916.3	916.3
1	57	4	21	0	283.1	283.1	1665.8
1	50	1	22	0.45	583.1	583.1	583.1
1	74	2	23	0.15	233.2	233.2	449.9
1	48	3	24	0	815.4	1265.3	1265.3
1	1	4	25	0	233.1	233.1	1616
1	58	1	26	0.05	266.7	266.7	266.7
1	70	2	27	0	266.6	783.1	783.1
1	9	3	28	0	183.3	1299.5	1865.8
1	41	4	29	0	800	800	1083.1
1	66	1	30	0.5	368.8	368.8	918.6
1	45	2	31	0	833	833	2698.9
1	27	3	32	0.35	183.2	183.2	183.2
1	72	4	33	0	416	665.9	1848.8
1	20	1	34	0.2	383.6	383.6	383.6
1	31	2	35	0.1	333.2	433.6	433.6
1	68	3	36	0.05	599.7	599.7	599.7
1	11	4	37	0.05	217	217	716.7
1	55	1	38	0.1	199.9	199.9	366.4
1	36	2	39	0.35	233.3	233.3	233.3
1	23	3	40	0.1	782.6	982.6	1482.4
1	53	4	41	0.15	966.3	966.3	1782.7
1	67	1	42	0	367.1	1034.5	1034.5
1	61	2	43	0.25	782.8	782.8	982.7
1	2	3	44	0	949.5	1165.6	1165.6
1	80	4	45	0	1266.3	1266.3	1266.3
1	73	1	46	0.3	233.4	233.4	233.4
1	33	2	47	0	600.2	600.2	1733.2
1	35	3	48	0.1	266.7	266.7	266.7
1	60	4	49	0.1	350.4	350.4	1000.4
1	49	1	50	0.9	316.6	533.4	533.4
1	47	2	51	0.9	283.2	283.2	633.1
1	54	3	52	0.65	333.1	333.1	333.1
1	19	4	53	0.1	383.5	1366.8	1767.3
1	46	1	54	0.95	116.2	299.5	299.5
1	51	2	55	0	833.1	833.1	833.1
1	12	3	56	0.6	732.7	732.7	732.7
1	5	4	57	0.4	966.3	966.3	2248.8
1	15	1	58	0.65	466.6	466.6	466.6
1	79	2	59	0.8	250.1	250.1	250.1
1	64	3	60	0.1	683.1	683.1	683.1
1	43	4	61	0.05	749.9	1483.2	1483.2
1	25	1	62	0	216.5	216.5	216.5
1	59	2	63	0.15	250.3	250.3	583.4
1	7	3	64	0	199.9	199.9	1666.9
1	14	4	65	0	1016.3	1016.3	1266.2
1	22	1	66	0.15	366.7	366.7	366.7
1	3	2	67	0.05	982.9	982.9	982.9
1	18	3	68	0.05	433.2	1133.9	1133.9
1	42	4	69	0	233.2	233.2	2048.9
