Participant_Num	Frame_Num	Condition	Fixation_Num	Pupil_Size	Fixation_Time	Trial	Word_pred
1	1	4	1	2.8	1266.2	4	0
1	1	4	2	3.1	249.9	4	0
1	1	4	3	3	1582.8	4	0
1	1	4	4	2.9	348.6	4	0
1	1	4	5	3.1	883	4	0
1	2	1	1	2.7	150	26	0.2
1	2	1	2	2.7	649.9	26	0.2
1	2	1	3	2.8	449.8	26	0.2
1	2	1	4	2.7	266.5	26	0.2
1	2	1	5	2.7	NA	26	0.2
1	3	2	1	2.5	NA	21	0.2
1	3	2	2	2.8	466.5	21	0.2
1	3	2	3	2.8	1449.3	21	0.2
1	3	2	4	2.8	NA	21	0.2
1	3	2	5	2.8	416.1	21	0.2
1	4	3	1	2.8	499.9	13	0
1	4	3	2	2.8	699.8	13	0
1	4	3	3	2.8	116.6	13	0
1	4	3	4	2.7	199.8	13	0
1	4	3	5	2.8	916.3	13	0
1	5	4	1	2.6	283.1	39	0.4
1	5	4	2	2.6	583.1	39	0.4
1	5	4	3	2.7	233.2	39	0.4
1	5	4	4	2.6	815.4	39	0.4
1	5	4	5	2.6	233.1	39	0.4
1	6	1	1	2.6	266.7	44	0.95
1	6	1	2	2.6	266.6	44	0.95
1	6	1	3	2.6	183.3	44	0.95
1	6	1	4	2.5	800	44	0.95
1	6	1	5	NA	368.8	44	0.95
1	7	2	1	2.5	833	38	0
1	7	2	2	2.5	183.2	38	0
1	7	2	3	2.7	416	38	0
1	7	2	4	2.7	383.6	38	0
1	7	2	5	2.5	333.2	38	0
1	8	3	1	2.6	599.7	37	0.5
1	8	3	2	2.5	217	37	0.5
1	8	3	3	2.5	199.9	37	0.5
1	8	3	4	2.5	233.3	37	0.5
1	8	3	5	2.5	782.6	37	0.5
1	9	4	1	2.7	966.3	52	0
1	9	4	2	2.6	367.1	52	0
1	9	4	3	2.6	782.8	52	0
1	9	4	4	2.7	949.5	52	0
1	9	4	5	2.6	1266.3	52	0
1	10	1	1	NA	233.4	30	0.7
1	10	1	2	NA	600.2	30	0.7
1	10	1	3	NA	266.7	30	0.7
1	10	1	4	NA	350.4	30	0.7
1	10	1	5	NA	316.6	30	0.7
1	11	2	1	NA	283.2	62	0.6
1	11	2	2	NA	333.1	62	0.6
1	11	2	3	NA	383.5	62	0.6
1	11	2	4	NA	116.2	62	0.6
1	11	2	5	NA	833.1	62	0.6
1	12	3	1	2.6	732.7	77	0.3
1	12	3	2	2.5	966.3	77	0.3
1	12	3	3	2.6	466.6	77	0.3
1	12	3	4	2.7	250.1	77	0.3
1	12	3	5	2.5	683.1	77	0.3
1	13	4	1	2.6	749.9	29	0.15
1	13	4	2	2.6	216.5	29	0.15
1	13	4	3	2.7	250.3	29	0.15
1	13	4	4	2.8	199.9	29	0.15
1	13	4	5	2.6	1016.3	29	0.15
1	14	1	1	NA	366.7	56	0.4
1	14	1	2	NA	982.9	56	0.4
1	14	1	3	NA	433.2	56	0.4
1	14	1	4	NA	233.2	56	0.4
1	14	1	5	NA	699.8	56	0.4
1	15	2	1	2.6	816.8	76	0
1	15	2	2	2.6	399.6	76	0
1	15	2	3	2.5	250.1	76	0
1	15	2	4	2.6	349.9	76	0
1	15	2	5	2.6	1316.2	76	0
1	16	3	1	2.7	1032.9	16	0
1	16	3	2	2.5	466.3	16	0
1	16	3	3	2.6	249.9	16	0
1	16	3	4	2.6	383.2	16	0
1	16	3	5	2.5	349.9	16	0
1	17	4	1	2.7	134.6	8	0
1	17	4	2	2.8	251.2	8	0
1	17	4	3	2.7	166.5	8	0
1	17	4	4	2.8	100.9	8	0
1	17	4	5	2.8	NA	8	0
1	18	1	1	2.8	99.4	10	0.3
1	18	1	2	2.7	167.5	10	0.3
1	18	1	3	2.8	266.7	10	0.3
1	18	1	4	2.8	298.2	10	0.3
1	18	1	5	2.7	248.7	10	0.3
1	19	2	1	2.7	216.8	69	0.8
1	19	2	2	2.7	199.7	69	0.8
1	19	2	3	2.7	184.5	69	0.8
1	19	2	4	2.7	216.5	69	0.8
1	19	2	5	2.7	298.1	69	0.8
1	20	3	1	2.6	483	32	0.05
1	20	3	2	2.6	NA	32	0.05
1	20	3	3	2.6	101.3	32	0.05
1	20	3	4	2.6	367.9	32	0.05
1	20	3	5	2.6	366.6	32	0.05
1	21	4	1	2.6	100	57	0
1	21	4	2	2.7	266.1	57	0
1	21	4	3	2.8	149.8	57	0
1	21	4	4	2.9	149.8	57	0
1	21	4	5	2.7	NA	57	0
1	22	1	1	2.7	184	50	0.45
1	22	1	2	2.5	300.3	50	0.45
1	22	1	3	2.6	115.8	50	0.45
1	22	1	4	2.6	NA	50	0.45
1	22	1	5	2.5	248.4	50	0.45
1	23	2	1	2.7	200.2	74	0.15
1	23	2	2	2.6	184.1	74	0.15
1	23	2	3	2.7	184	74	0.15
